episode: 339 || reward: 45.9002 || t_min: 3221.9251 || reward_s: 17.5414
episode: 340 || reward: 8.7241 || t_min: 3221.9251 || reward_s: 17.1005
episode: 341 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 16.9455
episode: 342 || reward: 11.2069 || t_min: 3221.9251 || reward_s: 16.6586
episode: 343 || reward: 7.2414 || t_min: 3221.9251 || reward_s: 16.1877
episode: 344 || reward: 5.2759 || t_min: 3221.9251 || reward_s: 15.6421
episode: 345 || reward: 13.0345 || t_min: 3221.9251 || reward_s: 15.5117
episode: 346 || reward: 14.0000 || t_min: 3221.9251 || reward_s: 15.4362
episode: 347 || reward: 10.3448 || t_min: 3221.9251 || reward_s: 15.1816
episode: 348 || reward: 23.1125 || t_min: 3221.9251 || reward_s: 15.5781
episode: 349 || reward: 5.8966 || t_min: 3221.9251 || reward_s: 15.0941
