2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:12,417 - INFO - episode:134 totalReward:3444.7211769061714 Actions:[[5, 0], [4, 0], [0, 0], [3, 0], [2, 0], [1, 1]]
2026-03-26 04:06:12,428 - INFO - episode:135 totalReward:-100 Actions:[[0, 3], [4, 3], [2, 5], [1, 4], [3, 3], [5, 2]]
2026-03-26 04:06:12,434 - INFO - episode:136 totalReward:116.86367533516899 Actions:[[4, 5], [3, 5], [1, 4], [2, 5], [5, 0], [0, 0]]
2026-03-26 04:06:12,440 - INFO - episode:137 totalReward:-100 Actions:[[4, 2], [1, 4], [0, 3], [5, 5], [3, 0], [2, 5]]
2026-03-26 04:06:12,445 - INFO - episode:138 totalReward:116.40138407677341 Actions:[[3, 0], [5, 3], [4, 0], [0, 2], [1, 0], [2, 1]]
2026-03-26 04:06:12,453 - INFO - episode:139 totalReward:-100 Actions:[[5, 5], [2, 1], [1, 4], [3, 1], [0, 4], [4, 2]]
2026-03-26 04:06:12,460 - INFO - episode:140 totalReward:-100 Actions:[[0, 0], [3, 0]]
2026-03-26 04:06:12,467 - INFO - episode:141 totalReward:1432.0818924019334 Actions:[[4, 1], [3, 0], [2, 1], [0, 1], [5, 2], [1, 1]]
2026-03-26 04:06:12,474 - INFO - episode:142 totalReward:-100 Actions:[[0, 4], [5, 1], [3, 4], [1, 4], [4, 3], [2, 5]]
2026-03-26 04:06:12,484 - INFO - episode:143 totalReward:-100 Actions:[[5, 1], [1, 1], [3, 2], [4, 4], [2, 2], [0, 2]]
2026-03-26 04:06:12,494 - INFO - episode:144 totalReward:329.39387669966897 Actions:[[5, 1], [3, 0], [1, 4], [4, 5], [2, 3], [0, 5]]
2026-03-26 04:06:12,502 - INFO - episode:145 totalReward:-100 Actions:[[3, 0], [2, 5], [4, 0], [5, 3], [0, 2], [1, 0]]
2026-03-26 04:06:12,512 - INFO - episode:146 totalReward:116.68597321340715 Actions:[[2, 1], [4, 0], [1, 1], [0, 2], [5, 4], [3, 0]]
2026-03-26 04:06:12,521 - INFO - episode:147 totalReward:768.1115130524208 Actions:[[5, 1], [2, 1], [4, 4], [1, 4], [3, 1], [0, 4]]
2026-03-26 04:06:12,530 - INFO - episode:148 totalReward:-100 Actions:[[5, 1], [0, 0], [2, 1], [3, 3], [1, 2], [4, 0]]
2026-03-26 04:06:12,542 - INFO - episode:149 totalReward:-100 Actions:[[0, 5], [2, 1], [4, 2], [1, 4], [5, 1], [3, 5]]
2026-03-26 04:06:12,551 - INFO - episode:150 totalReward:-100 Actions:[[3, 4]]
2026-03-26 04:06:12,557 - INFO - episode:151 totalReward:-100 Actions:[[3, 4], [1, 0], [4, 1], [0, 2], [5, 2], [2, 1]]
2026-03-26 04:06:12,564 - INFO - episode:152 totalReward:-100 Actions:[[3, 4], [4, 5], [0, 5], [5, 2], [1, 0], [2, 5]]
2026-03-26 04:06:12,571 - INFO - episode:153 totalReward:-100 Actions:[[3, 1], [0, 4], [1, 0], [5, 4], [4, 5], [2, 0]]
2026-03-26 04:06:12,579 - INFO - episode:154 totalReward:-100 Actions:[[3, 2], [5, 5], [4, 5], [2, 4], [0, 4], [1, 0]]
2026-03-26 04:06:12,586 - INFO - episode:155 totalReward:-100 Actions:[[0, 5], [4, 5], [3, 0], [5, 4], [2, 0], [1, 3]]
2026-03-26 04:06:12,597 - INFO - episode:156 totalReward:-100 Actions:[[0, 0], [4, 2], [5, 4], [3, 1], [2, 4], [1, 4]]
2026-03-26 04:06:12,606 - INFO - episode:157 totalReward:724.1725547783657 Actions:[[0, 1], [2, 5], [4, 0], [3, 0], [1, 0], [5, 1]]
2026-03-26 04:06:12,615 - INFO - episode:158 totalReward:-100 Actions:[[1, 5], [0, 4], [4, 1], [5, 0], [3, 0], [2, 3]]
2026-03-26 04:06:12,623 - INFO - episode:159 totalReward:-100 Actions:[[0, 4], [4, 4], [2, 5], [3, 5], [5, 5], [1, 1]]
2026-03-26 04:06:12,634 - INFO - episode:160 totalReward:380.74961304810324 Actions:[[5, 1], [3, 4]]
2026-03-26 04:06:12,650 - INFO - episode:161 totalReward:-100 Actions:[[5, 1], [3, 4], [0, 5], [4, 3], [1, 1], [2, 2]]
2026-03-26 04:06:12,663 - INFO - episode:162 totalReward:-100 Actions:[[5, 1], [3, 4], [2, 4], [1, 4], [4, 1], [0, 0]]
2026-03-26 04:06:12,672 - INFO - episode:163 totalReward:-100 Actions:[[5, 1], [3, 4], [2, 4], [4, 4], [1, 3], [0, 3]]
2026-03-26 04:06:12,681 - INFO - episode:164 totalReward:-100 Actions:[[0, 0], [3, 2], [2, 5], [5, 1], [1, 2], [4, 2]]
2026-03-26 04:06:12,695 - INFO - episode:165 totalReward:-100 Actions:[[0, 5], [3, 2], [5, 2], [1, 3], [4, 5], [2, 0]]
2026-03-26 04:06:12,701 - INFO - episode:166 totalReward:-100 Actions:[[4, 2], [5, 2], [0, 2], [3, 2], [1, 5], [2, 3]]
2026-03-26 04:06:12,712 - INFO - episode:167 totalReward:-100 Actions:[[4, 5], [2, 0], [5, 4], [1, 1], [3, 1], [0, 4]]
2026-03-26 04:06:12,718 - INFO - episode:168 totalReward:-100 Actions:[[3, 0], [4, 2], [0, 0], [1, 0], [2, 3], [5, 5]]
2026-03-26 04:06:12,727 - INFO - episode:169 totalReward:389.9497104136979 Actions:[[3, 1], [4, 2], [1, 3], [0, 2], [5, 2], [2, 4]]
2026-03-26 04:06:12,734 - INFO - episode:170 totalReward:-100 Actions:[[5, 1], [3, 4]]
2026-03-26 04:06:12,743 - INFO - episode:171 totalReward:-100 Actions:[[3, 3], [1, 4], [0, 3], [5, 2], [2, 4], [4, 1]]
2026-03-26 04:06:12,752 - INFO - episode:172 totalReward:102.70738611546672 Actions:[[0, 5], [4, 3], [5, 5], [1, 3], [3, 3], [2, 4]]
2026-03-26 04:06:12,761 - INFO - episode:173 totalReward:116.81043047705822 Actions:[[0, 4], [4, 3], [1, 2], [3, 2], [5, 5], [2, 3]]
2026-03-26 04:06:12,770 - INFO - episode:174 totalReward:-100 Actions:[[0, 4], [3, 5], [5, 1], [2, 3], [4, 2], [1, 2]]
2026-03-26 04:06:12,777 - INFO - episode:175 totalReward:-100 Actions:[[0, 5], [5, 4], [3, 1], [2, 2], [4, 3], [1, 0]]
2026-03-26 04:06:12,786 - INFO - episode:176 totalReward:-100 Actions:[[0, 0], [3, 3], [2, 4], [1, 2], [5, 0], [4, 0]]
2026-03-26 04:06:12,801 - INFO - episode:177 totalReward:103.2308575729985 Actions:[[3, 4], [4, 4], [0, 1], [5, 0], [1, 5], [2, 0]]
2026-03-26 04:06:12,815 - INFO - episode:178 totalReward:-100 Actions:[[4, 5], [3, 5], [5, 3], [2, 5], [1, 1], [0, 3]]
2026-03-26 04:06:12,826 - INFO - episode:179 totalReward:-100 Actions:[[2, 0], [4, 0], [5, 4], [0, 5], [1, 4], [3, 1]]
